City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,mahina,-17.5065,-149.489,28.87,74,75,2.57,PF,1701198350
135,kindu,-2.95,25.95,21.45,96,51,0.99,CD,1701198351
136,hawaiian paradise park,19.5933,-154.9731,24.73,88,40,5.14,US,1701198351
137,bayganin,48.6947,55.8742,0.65,69,100,7.53,KZ,1701198351
138,wotho,10.1657,166.0102,27.7,70,12,10.28,MH,1701198351
139,la passe,45.5549,-0.8967,6.13,73,7,1.09,FR,1701198352
140,east london,-33.0153,27.9116,20.52,77,20,5.66,ZA,1701198352
141,nguigmi,14.2495,13.1092,27.2,21,11,6.25,NE,1701198352
142,retreat,38.8245,-85.8533,-0.47,49,0,3.61,US,1701198353
143,dakhla,23.6848,-15.958,21.01,52,0,4.63,EH,1701198353
144,dryden,49.7833,-92.7503,-10.84,85,100,5.66,CA,1701198353
145,chettipalaiyam,10.9,77.0667,24.97,83,40,1.03,IN,1701198353
146,hays,30.0502,-98.0336,16.16,35,1,0.45,US,1701198354
147,port elizabeth,-33.918,25.5701,18.16,90,40,9.77,ZA,1701198354
148,tazacorte,28.629,-17.9293,20.54,80,0,2.57,ES,1701198354
149,inarajan village,13.2736,144.7484,28.08,90,25,8.39,GU,1701198355
150,harper,4.375,-7.7169,26.42,81,100,2.44,LR,1701198355
151,port macquarie,-31.4333,152.9167,18.83,87,100,4.57,AU,1701198273
152,avarua,-21.2078,-159.775,25.03,83,75,8.23,CK,1701198355
153,cooper's town,26.8667,-77.5167,21.98,62,95,5.49,BS,1701198356
154,sao joao da barra,-21.6403,-41.0511,28.05,84,100,5.71,BR,1701198335
155,iskateley,67.6803,53.1512,-17.21,95,100,4.92,RU,1701198356
156,rehoboth,-23.3167,17.0833,25.26,39,100,5.7,NA,1701198357
157,annonay,45.2397,4.6708,5.58,88,64,3.57,FR,1701198357
158,namibe,-15.1961,12.1522,23.68,75,77,1.8,AO,1701198357
159,prado,-17.3411,-39.2208,27.13,73,15,6.12,BR,1701198358
160,zakamensk,50.3741,103.2863,-20.53,96,66,1.42,RU,1701198358
161,bac lieu,9.285,105.7244,24.76,88,100,4.97,VN,1701198358
162,mar del plata,-38.0023,-57.5575,28.79,89,0,8.94,AR,1701198068
163,college,64.8569,-147.8028,-9.03,89,75,0.0,US,1701198086
164,banda aceh,5.5577,95.3222,26.11,84,98,2.0,ID,1701198359
165,whitehorse,60.7161,-135.0538,-6.57,68,20,2.06,CA,1701198086
166,devils lake,48.1128,-98.8651,3.3,63,0,9.77,US,1701198046
167,ust-nera,64.5667,143.2,-21.5,99,100,1.27,RU,1701198360
168,lerwick,60.1545,-1.1494,2.0,65,100,5.56,GB,1701198360
169,al wajh,26.2455,36.4525,22.97,46,0,2.06,SA,1701198360
170,melekeok village,7.4957,134.6367,27.31,89,75,2.57,PW,1701198360
171,badger,64.8,-147.5333,-9.07,87,100,2.06,US,1701198361
172,mata de sao joao,-12.5303,-38.2992,28.86,56,100,4.48,BR,1701198361
173,tsiombe,-25.3,45.4833,24.69,86,56,6.08,MG,1701198361
174,kaa-khem,51.6833,94.7333,-19.57,95,81,1.57,RU,1701198361
175,port alfred,-33.5906,26.891,20.1,82,100,3.13,ZA,1701198362
176,castillos,-34.1667,-53.8333,22.94,75,63,6.85,UY,1701198363
177,mugia,43.1041,-9.2179,16.06,93,100,7.08,ES,1701198363
178,ad dabbah,18.05,30.95,25.92,23,0,6.04,SD,1701198363
179,santa rosa,14.3122,121.1114,26.99,95,90,5.45,PH,1701198090
180,west island,-12.1568,96.8225,25.99,73,75,3.6,CC,1701198364
181,anaco,9.4389,-64.4728,32.87,42,12,4.89,VE,1701198364
182,gadzhiyevo,69.2551,33.3362,-1.43,80,99,8.14,RU,1701198365
183,treasure island,27.7692,-82.769,15.03,54,100,4.63,US,1701198365
184,puerto aysen,-45.4,-72.7,9.17,99,100,2.95,CL,1701198366
185,tshabong,-26.05,22.45,28.1,34,97,5.17,BW,1701198366
186,puerto ayora,-0.7393,-90.3518,28.98,94,93,6.71,EC,1701198366
187,nova sintra,14.8667,-24.7167,22.0,69,16,5.41,CV,1701198367
188,le vauclin,14.5452,-60.8388,31.03,66,20,6.17,MQ,1701198367
189,pangkalanbuun,-2.6833,111.6167,23.95,96,100,0.77,ID,1701198368
190,flying fish cove,-10.4217,105.6791,25.86,67,97,7.75,CX,1701198368
191,ennis,52.8436,-8.9864,6.96,81,75,0.0,IE,1701198369
192,junagarh,19.8667,82.9333,18.55,69,0,0.86,IN,1701198369
193,san jose el alto,20.65,-100.3667,21.59,56,100,8.23,MX,1701198370
194,weno,7.4515,151.8468,27.97,78,75,3.09,FM,1701198370
195,hashtpar,37.8008,48.9037,11.17,88,100,0.46,IR,1701198370
196,panzos,15.4,-89.6667,27.72,76,100,1.29,GT,1701198371
197,arkhara,49.4212,130.0842,-24.76,100,96,0.45,RU,1701198372
198,abepura,-2.6333,140.5833,23.45,100,20,1.03,ID,1701198372
199,suva,-18.1416,178.4415,25.71,94,75,1.03,FJ,1701198372
200,tidjikja,18.5564,-11.4271,24.75,13,23,4.33,MR,1701198166
201,pitea,65.3172,21.4794,-3.95,94,100,7.96,SE,1701198373
202,vilyuchinsk,52.9306,158.4028,-8.37,85,100,2.98,RU,1701198373
203,kostopil',50.8784,26.4519,-1.18,88,100,5.72,UA,1701198374
204,bayside,40.8424,-124.0637,16.32,54,0,3.6,US,1701198375
205,amahai,-3.3333,128.9167,25.41,82,100,1.63,ID,1701198375
206,alesund,62.4723,6.1549,-1.25,70,40,12.35,NO,1701198375
207,eydhafushi,5.1033,73.0708,28.24,72,100,5.51,MV,1701198376
208,griffith,41.5284,-87.4237,-2.75,52,0,4.12,US,1701198376
209,pyu,18.4833,96.4333,20.24,90,19,2.61,MM,1701198376
210,cherepovets,59.1333,37.9,-4.1,86,75,3.0,RU,1701198377
211,colonia,50.9333,6.95,2.14,82,20,1.54,DE,1701198284
212,obudu,6.6674,9.1716,26.12,78,100,2.34,NG,1701198377
213,undurkhaan,47.3194,110.6556,-23.5,87,8,3.07,MN,1701198378
214,charters towers,-20.1,146.2667,23.3,85,0,3.16,AU,1701198378
215,tafuna,-14.3358,-170.72,27.97,94,100,7.2,AS,1701198378
216,qingshuping,27.3817,112.0221,13.87,69,26,0.62,CN,1701198379
217,port mathurin,-19.6833,63.4167,25.05,78,75,4.12,MU,1701198379
218,newman,37.3138,-121.0208,16.68,10,0,2.34,US,1701198379
219,port augusta,-32.5,137.7667,16.59,75,100,8.0,AU,1701198380
220,san pedro pochutla,15.7333,-96.4667,29.84,56,91,1.93,MX,1701198380
221,neya,58.2972,43.8681,-5.3,96,94,2.65,RU,1701198380
222,kawambwa,-9.7915,29.0791,18.35,94,100,1.56,ZM,1701198381
223,nar'yan-mar,67.6713,53.087,-17.16,95,100,4.92,RU,1701198381
224,wailua homesteads,22.0669,-159.378,21.59,93,100,3.6,US,1701198382
225,howrah,22.5892,88.3103,24.0,69,20,1.54,IN,1701198382
226,katsuura,35.1333,140.3,11.82,59,0,3.33,JP,1701198383
227,sitka,57.0531,-135.33,3.94,93,40,2.06,US,1701198383
228,sterling,39.0062,-77.4286,4.43,38,75,9.26,US,1701198165
229,ta`u,-14.2336,-169.5144,27.46,81,100,8.69,AS,1701198384
230,barah,13.7,30.3667,27.05,26,6,5.24,SD,1701198384
231,laguna,38.421,-121.4238,17.27,50,0,1.54,US,1701198384
232,cabedelo,-6.9811,-34.8339,29.37,66,99,6.73,BR,1701198314
233,cidreira,-30.1811,-50.2056,19.29,92,100,8.27,BR,1701198385
234,motygino,58.1831,94.7592,-21.96,96,100,0.89,RU,1701198385
235,kailua-kona,19.6406,-155.9956,25.98,81,40,2.57,US,1701198271
236,kashgar,39.4547,75.9797,4.56,38,12,4.0,CN,1701198386
237,georgetown,5.4112,100.3354,26.96,79,20,1.54,MY,1701198386
238,siwa oasis,29.2041,25.5195,15.94,47,75,3.15,EG,1701198387
239,formosa do rio preto,-11.0483,-45.1931,37.54,16,16,1.71,BR,1701198383
240,fort bragg,35.139,-79.006,12.17,35,0,4.92,US,1701198127
241,talnakh,69.4865,88.3972,-23.74,98,33,2.0,RU,1701198388
242,abu qurqas,27.9312,30.8384,17.9,37,100,3.55,EG,1701198388
243,banchory,57.0517,-2.4882,2.98,95,99,3.84,GB,1701198388
244,kristinestad,62.2743,21.376,-3.28,87,100,6.65,FI,1701198389
245,issia,6.4922,-6.5856,24.59,86,58,1.61,CI,1701198389
246,celestun,20.8667,-90.4,25.03,82,100,8.13,MX,1701198389
247,brookings,44.3114,-96.7984,4.51,60,0,8.75,US,1701198254
248,laojunmiao,39.8333,97.7333,-4.5,58,0,2.37,CN,1701198390
249,onega,63.9061,38.1404,-5.62,89,100,5.21,RU,1701198391
250,pasuquin,18.3328,120.6177,23.97,94,20,1.03,PH,1701198391
251,igrim,63.1906,64.4162,-3.47,97,100,2.09,RU,1701198391
252,kloulklubed,7.0419,134.2556,27.28,77,99,7.5,PW,1701198392
253,kudahuvadhoo,2.6708,72.8944,27.21,79,100,4.51,MV,1701198392
254,powell river,49.8496,-124.5361,5.15,69,100,1.09,CA,1701198131
255,saint peter,13.25,-59.6167,28.31,73,3,6.32,BB,1701198393
256,banamba,13.55,-7.45,28.54,18,0,3.73,ML,1701198393
257,haiku-pauwela,20.9219,-156.3051,26.69,71,20,3.09,US,1701198393
258,port saint john's,-31.6229,29.5448,21.84,86,100,8.29,ZA,1701198394
259,sanctuary point,-35.1114,150.629,20.74,96,100,8.82,AU,1701198394
260,douentza,14.9951,-2.9517,29.0,14,0,2.57,ML,1701198394
261,peniche,39.3558,-9.3811,16.98,91,100,7.35,PT,1701198395
262,tolanaro,-25.0319,46.9987,26.04,83,20,10.8,MG,1701198395
263,callao,-12.0667,-77.15,21.16,73,40,4.63,PE,1701198292
264,timimoun,29.2639,0.231,18.21,15,0,2.06,DZ,1701198396
265,beau vallon,-20.4189,57.6953,25.13,83,40,1.54,MU,1701198396
266,ouro sogui,15.6,-13.3167,35.01,29,0,0.0,SN,1701198397
267,ilulissat,69.2167,-51.1,-6.99,58,20,12.86,GL,1701198398
268,jambi city,-1.6,103.6167,23.28,98,61,0.45,ID,1701198399
269,troy,42.6056,-83.1499,-1.2,60,40,6.69,US,1701198272
270,guerrero negro,27.9769,-114.0611,21.12,55,100,1.46,MX,1701198399
271,balabac,7.9868,117.0645,27.7,81,16,5.59,PH,1701198400
272,hadibu,12.65,54.0333,25.63,68,100,5.0,YE,1701198400
273,newnham,-41.3833,147.1333,10.93,87,69,6.69,AU,1701198400
274,horta,38.5333,-28.6333,18.9,96,75,6.71,PT,1701198401
275,karratha,-20.7377,116.8463,23.75,53,0,7.7,AU,1701198401
276,barreirinhas,-2.7469,-42.8264,28.28,70,82,4.96,BR,1701198401
277,nikolayevsk-on-amure,53.1406,140.73,-18.55,93,98,1.66,RU,1701198402
278,tyrnavos,39.7378,22.2892,5.9,100,75,2.06,GR,1701198402
279,ohara,35.25,140.3833,11.12,59,0,1.99,JP,1701198403
280,broome,42.2506,-75.833,-0.17,64,100,7.2,US,1701198403
281,hamilton,39.1834,-84.5333,-1.39,57,40,5.66,US,1701198053
282,longboat key,27.4125,-82.659,15.56,48,0,5.66,US,1701198179
283,vadso,70.0744,29.7487,1.09,75,75,8.23,NO,1701198207
284,popondetta,-8.7537,148.2534,23.47,95,100,1.36,PG,1701198404
285,ribeira grande,38.5167,-28.7,19.32,100,75,6.71,PT,1701198404
286,katsuren-haebaru,26.3369,127.8719,17.21,63,0,2.57,JP,1701198405
